highway_flow.118 | Accel=-9.0 | Severity=9.0 | Time=734.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.118 | Accel=-9.0 | Severity=9.0 | Time=735.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.118 | Accel=-6.969925556312143 | Severity=6.969925556312143 | Time=736.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.120 | Accel=-6.729099409433342 | Severity=6.729099409433342 | Time=745.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.120 | Accel=-4.5000000000000036 | Severity=4.5000000000000036 | Time=746.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.121 | Accel=-4.729220805529874 | Severity=4.729220805529874 | Time=749.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.121 | Accel=-4.5000000000000036 | Severity=4.5000000000000036 | Time=750.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.121 | Accel=-4.500000000000005 | Severity=4.500000000000005 | Time=751.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.137 | Accel=-4.938042718252856 | Severity=4.938042718252856 | Time=846.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.137 | Accel=-9.0 | Severity=9.0 | Time=848.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.138 | Accel=-9.0 | Severity=9.0 | Time=852.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.139 | Accel=-9.0 | Severity=9.0 | Time=859.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.52 | Accel=-6.775864773871383 | Severity=6.775864773871383 | Time=943.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.153 | Accel=-7.079325481208734 | Severity=7.079325481208734 | Time=944.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.154 | Accel=-8.63337443874665 | Severity=8.63337443874665 | Time=948.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.154 | Accel=-9.0 | Severity=9.0 | Time=950.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.157 | Accel=-9.0 | Severity=9.0 | Time=966.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.157 | Accel=-5.959545234864116 | Severity=5.959545234864116 | Time=967.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.157 | Accel=-4.500000000000005 | Severity=4.500000000000005 | Time=968.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.157 | Accel=-4.500000000000014 | Severity=4.500000000000014 | Time=969.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.167 | Accel=-9.0 | Severity=9.0 | Time=1027.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.167 | Accel=-6.930191419353454 | Severity=6.930191419353454 | Time=1028.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.167 | Accel=-4.500000000000003 | Severity=4.500000000000003 | Time=1029.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.167 | Accel=-4.500000000000012 | Severity=4.500000000000012 | Time=1030.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.187 | Accel=-5.6158869206888795 | Severity=5.6158869206888795 | Time=1152.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.188 | Accel=-9.0 | Severity=9.0 | Time=1154.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.189 | Accel=-9.0 | Severity=9.0 | Time=1158.0 | Lane=highway_1 | Reason=Emergency braking
ramp_flow.64 | Accel=-6.901302316457965 | Severity=6.901302316457965 | Time=1159.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.192 | Accel=-5.640228112928861 | Severity=5.640228112928861 | Time=1178.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.192 | Accel=-4.500000000000003 | Severity=4.500000000000003 | Time=1179.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.192 | Accel=-4.500000000000012 | Severity=4.500000000000012 | Time=1180.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.201 | Accel=-9.0 | Severity=9.0 | Time=1232.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.202 | Accel=-9.0 | Severity=9.0 | Time=1238.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.203 | Accel=-5.049671989195325 | Severity=5.049671989195325 | Time=1243.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.203 | Accel=-9.0 | Severity=9.0 | Time=1245.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.207 | Accel=-9.0 | Severity=9.0 | Time=1268.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.207 | Accel=-9.0 | Severity=9.0 | Time=1269.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.213 | Accel=-9.0 | Severity=9.0 | Time=1306.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.228 | Accel=-6.38060148259904 | Severity=6.38060148259904 | Time=1391.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.229 | Accel=-9.0 | Severity=9.0 | Time=1400.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.233 | Accel=-9.0 | Severity=9.0 | Time=1425.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.233 | Accel=-5.81005205707722 | Severity=5.81005205707722 | Time=1426.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.235 | Accel=-6.65282736172065 | Severity=6.65282736172065 | Time=1434.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.246 | Accel=-9.0 | Severity=9.0 | Time=1501.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.246 | Accel=-6.6389474187610915 | Severity=6.6389474187610915 | Time=1502.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.246 | Accel=-4.500000000000013 | Severity=4.500000000000013 | Time=1503.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.247 | Accel=-9.0 | Severity=9.0 | Time=1507.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.247 | Accel=-6.768224978509364 | Severity=6.768224978509364 | Time=1508.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.247 | Accel=-4.500000000000014 | Severity=4.500000000000014 | Time=1509.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.86 | Accel=-6.205811960249209 | Severity=6.205811960249209 | Time=1555.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.258 | Accel=-9.0 | Severity=9.0 | Time=1573.0 | Lane=highway_1 | Reason=Emergency braking
ramp_flow.87 | Accel=-6.87785293899064 | Severity=6.87785293899064 | Time=1574.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.271 | Accel=-5.444531925801936 | Severity=5.444531925801936 | Time=1649.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.272 | Accel=-9.0 | Severity=9.0 | Time=1658.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.273 | Accel=-9.0 | Severity=9.0 | Time=1662.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.273 | Accel=-6.030589354768686 | Severity=6.030589354768686 | Time=1663.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.287 | Accel=-5.449065946405753 | Severity=5.449065946405753 | Time=1746.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.97 | Accel=-6.320169570366851 | Severity=6.320169570366851 | Time=1754.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.301 | Accel=-6.46082396273642 | Severity=6.46082396273642 | Time=1829.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.302 | Accel=-5.618709235127607 | Severity=5.618709235127607 | Time=1835.0 | Lane=highway_1 | Reason=Emergency braking
ramp_flow.102 | Accel=-7.035733645641239 | Severity=7.035733645641239 | Time=1843.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.304 | Accel=-9.0 | Severity=9.0 | Time=1849.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.318 | Accel=-9.0 | Severity=9.0 | Time=1933.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.318 | Accel=-5.797823771951098 | Severity=5.797823771951098 | Time=1934.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.332 | Accel=-6.436220643916924 | Severity=6.436220643916924 | Time=2018.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.333 | Accel=-7.102851465442413 | Severity=7.102851465442413 | Time=2022.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.333 | Accel=-9.0 | Severity=9.0 | Time=2024.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.346 | Accel=-9.0 | Severity=9.0 | Time=2101.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.346 | Accel=-9.0 | Severity=9.0 | Time=2102.0 | Lane=:merge_point_1_1 | Reason=Emergency braking
highway_flow.347 | Accel=-9.0 | Severity=9.0 | Time=2107.0 | Lane=highway_1 | Reason=Emergency braking
